Button A: X+63, Y+14
Button A: X+37, Y+18
Button B: X+44, Y+78
Prize: X=3863, Y=2898

Button A: X+25, Y+60
Button B: X+57, Y+23
Prize: X=15259, Y=12516

Button A: X+11, Y+32
Button B: X+74, Y+30
Prize: X=467, Y=3686

Button A: X+25, Y+86
Button B: X+67, Y+63
Prize: X=6940, Y=7963

Button A: X+11, Y+80
Button B: X+75, Y+73
Prize: X=6885, Y=10859

Button A: X+31, Y+50
Button B: X+96, Y+31
Prize: X=573, Y=305

Button A: X+53, Y+16
Button B: X+37, Y+77
Prize: X=15101, Y=16829

Button A: X+18, Y+78
Button B: X+61, Y+12
Prize: X=9178, Y=7268

Button A: X+43, Y+41
Button B: X+11, Y+53
Prize: X=3777, Y=6067

Button A: X+85, Y+28
Button B: X+13, Y+44
Prize: X=1662, Y=3288

Button A: X+27, Y+82
Button B: X+65, Y+12
Prize: X=6448, Y=14048

Button A: X+14, Y+92
Button B: X+75, Y+84
Prize: X=2876, Y=5816

Button A: X+14, Y+27
Button B: X+52, Y+20
Prize: X=13444, Y=17042

Button A: X+84, Y+25
Button B: X+11, Y+60
Prize: X=11642, Y=4160

Button A: X+45, Y+25
Button B: X+33, Y+59
Prize: X=9683, Y=10449

Button A: X+16, Y+61
Button B: X+83, Y+50
Prize: X=2160, Y=3972

Button A: X+64, Y+25
Button B: X+48, Y+61
Prize: X=5808, Y=6198

Button A: X+51, Y+55
Button B: X+64, Y+16
Prize: X=8113, Y=5197

Button A: X+36, Y+14
Button B: X+16, Y+25
Prize: X=12716, Y=12076

Button A: X+71, Y+21
Button B: X+13, Y+70
Prize: X=1999, Y=389

Button A: X+75, Y+14
Button B: X+15, Y+83
Prize: X=6365, Y=12329

Button A: X+59, Y+13
Button B: X+23, Y+62
Prize: X=11799, Y=8700

Button A: X+63, Y+12
Button B: X+28, Y+84
Prize: X=3756, Y=18080

Button A: X+83, Y+97
Button B: X+93, Y+14
Prize: X=6937, Y=4509

Button A: X+91, Y+52
Button B: X+23, Y+54
Prize: X=2740, Y=3200

Button A: X+98, Y+24
Button B: X+12, Y+50
Prize: X=2410, Y=3508

Button A: X+12, Y+48
Button B: X+71, Y+56
Prize: X=7260, Y=7152

Button A: X+81, Y+61
Button B: X+12, Y+63
Prize: X=5145, Y=6249

Button A: X+16, Y+53
Button B: X+96, Y+21
Prize: X=8048, Y=6463

Button A: X+33, Y+14
Button B: X+15, Y+52
Prize: X=14369, Y=9140

Button A: X+19, Y+59
Button B: X+30, Y+11
Prize: X=13981, Y=18382

Button A: X+15, Y+41
Button B: X+62, Y+26
Prize: X=918, Y=12146

Button A: X+60, Y+16
Button B: X+17, Y+77
Prize: X=16721, Y=8161

Button A: X+65, Y+30
Button B: X+24, Y+49
Prize: X=18662, Y=13672

Button A: X+19, Y+72
Button B: X+72, Y+14
Prize: X=8892, Y=19434

Button A: X+53, Y+26
Button B: X+22, Y+57
Prize: X=14006, Y=9613

Button A: X+64, Y+14
Button B: X+14, Y+69
Prize: X=6870, Y=9595

Button A: X+33, Y+12
Button B: X+22, Y+64
Prize: X=4763, Y=6884

Button A: X+11, Y+34
Button B: X+66, Y+45
Prize: X=1376, Y=6380

Button A: X+11, Y+49
Button B: X+80, Y+18
Prize: X=17079, Y=1417

Button A: X+88, Y+36
Button B: X+17, Y+58
Prize: X=6940, Y=3860

Button A: X+56, Y+18
Button B: X+16, Y+71
Prize: X=2160, Y=3872

Button A: X+73, Y+13
Button B: X+19, Y+74
Prize: X=5721, Y=13001

Button A: X+26, Y+62
Button B: X+59, Y+14
Prize: X=13427, Y=19772

Button A: X+62, Y+11
Button B: X+20, Y+78
Prize: X=9330, Y=17897

Button A: X+84, Y+23
Button B: X+14, Y+73
Prize: X=5254, Y=16308

Button A: X+35, Y+12
Button B: X+20, Y+30
Prize: X=10910, Y=1196

Button A: X+56, Y+25
Button B: X+36, Y+72
Prize: X=6600, Y=7980

Button A: X+18, Y+53
Button B: X+71, Y+24
Prize: X=15881, Y=16234

Button A: X+24, Y+81
Button B: X+32, Y+21
Prize: X=1792, Y=1698

Button A: X+57, Y+29
Button B: X+22, Y+57
Prize: X=3599, Y=12132

Button A: X+45, Y+22
Button B: X+15, Y+43
Prize: X=7250, Y=16657

Button A: X+11, Y+32
Button B: X+76, Y+55
Prize: X=6277, Y=8566

Button A: X+11, Y+38
Button B: X+31, Y+20
Prize: X=8663, Y=5068

Button A: X+13, Y+44
Button B: X+79, Y+35
Prize: X=16161, Y=12028

Button A: X+14, Y+86
Button B: X+30, Y+33
Prize: X=608, Y=1163

Button A: X+27, Y+18
Button B: X+39, Y+96
Prize: X=4887, Y=9558

Button A: X+29, Y+92
Button B: X+96, Y+19
Prize: X=9073, Y=2227

Button A: X+26, Y+69
Button B: X+65, Y+14
Prize: X=15993, Y=6605

Button A: X+44, Y+11
Button B: X+14, Y+42
Prize: X=8850, Y=15218

Button A: X+29, Y+55
Button B: X+70, Y+39
Prize: X=6877, Y=3948

Button A: X+14, Y+44
Button B: X+66, Y+24
Prize: X=11860, Y=13528

Button A: X+40, Y+18
Button B: X+44, Y+73
Prize: X=18372, Y=11267

Button A: X+75, Y+79
Button B: X+12, Y+73
Prize: X=6678, Y=8181

Button A: X+60, Y+92
Button B: X+76, Y+28
Prize: X=8196, Y=6724

Button A: X+11, Y+52
Button B: X+47, Y+16
Prize: X=19098, Y=9736

Button A: X+67, Y+70
Button B: X+18, Y+83
Prize: X=6057, Y=8575

Button A: X+82, Y+26
Button B: X+14, Y+61
Prize: X=18224, Y=11876

Button A: X+19, Y+60
Button B: X+75, Y+32
Prize: X=18161, Y=5480

Button A: X+43, Y+69
Button B: X+52, Y+25
Prize: X=17476, Y=4106

Button A: X+27, Y+95
Button B: X+34, Y+32
Prize: X=2126, Y=2836

Button A: X+40, Y+39
Button B: X+14, Y+96
Prize: X=1892, Y=6621

Button A: X+20, Y+71
Button B: X+80, Y+40
Prize: X=8920, Y=10438

Button A: X+40, Y+57
Button B: X+33, Y+11
Prize: X=6314, Y=568

Button A: X+99, Y+91
Button B: X+15, Y+91
Prize: X=4014, Y=11102

Button A: X+16, Y+22
Button B: X+27, Y+12
Prize: X=6729, Y=918

Button A: X+11, Y+67
Button B: X+65, Y+16
Prize: X=5652, Y=11917

Button A: X+14, Y+49
Button B: X+81, Y+42
Prize: X=17396, Y=17189

Button A: X+12, Y+31
Button B: X+75, Y+53
Prize: X=887, Y=4840

Button A: X+25, Y+63
Button B: X+62, Y+15
Prize: X=8820, Y=18605

Button A: X+43, Y+12
Button B: X+18, Y+55
Prize: X=10077, Y=19114

Button A: X+16, Y+27
Button B: X+38, Y+12
Prize: X=14666, Y=6686

Button A: X+65, Y+12
Button B: X+30, Y+81
Prize: X=5825, Y=10691

Button A: X+23, Y+65
Button B: X+46, Y+14
Prize: X=19098, Y=1810

Button A: X+32, Y+61
Button B: X+55, Y+18
Prize: X=9869, Y=745

Button A: X+19, Y+42
Button B: X+97, Y+19
Prize: X=5478, Y=4097

Button A: X+79, Y+25
Button B: X+12, Y+63
Prize: X=4014, Y=8007

Button A: X+24, Y+55
Button B: X+57, Y+39
Prize: X=2778, Y=3251

Button A: X+60, Y+14
Button B: X+29, Y+77
Prize: X=4471, Y=18743

Button A: X+44, Y+71
Button B: X+45, Y+23
Prize: X=4764, Y=16962

Button A: X+69, Y+44
Button B: X+14, Y+37
Prize: X=18647, Y=8826

Button A: X+15, Y+70
Button B: X+58, Y+17
Prize: X=2737, Y=10708

Button A: X+25, Y+48
Button B: X+42, Y+20
Prize: X=3308, Y=4896

Button A: X+16, Y+43
Button B: X+70, Y+28
Prize: X=10848, Y=15996

Button A: X+68, Y+74
Button B: X+12, Y+68
Prize: X=2632, Y=3084

Button A: X+67, Y+87
Button B: X+91, Y+26
Prize: X=6156, Y=5966

Button A: X+43, Y+88
Button B: X+99, Y+11
Prize: X=6953, Y=6182

Button A: X+66, Y+21
Button B: X+17, Y+66
Prize: X=6466, Y=5814

Button A: X+52, Y+24
Button B: X+21, Y+43
Prize: X=8244, Y=16996

Button A: X+46, Y+82
Button B: X+45, Y+13
Prize: X=9831, Y=14647

Button A: X+17, Y+30
Button B: X+49, Y+23
Prize: X=3553, Y=1954

Button A: X+56, Y+23
Button B: X+16, Y+21
Prize: X=5072, Y=2819

Button A: X+22, Y+98
Button B: X+70, Y+75
Prize: X=6382, Y=8773

Button A: X+32, Y+93
Button B: X+68, Y+43
Prize: X=7404, Y=6210

Button A: X+29, Y+75
Button B: X+94, Y+38
Prize: X=4690, Y=5566

Button A: X+54, Y+20
Button B: X+39, Y+73
Prize: X=16733, Y=11735

Button A: X+30, Y+15
Button B: X+22, Y+35
Prize: X=2952, Y=1980

Button A: X+20, Y+78
Button B: X+86, Y+43
Prize: X=7874, Y=4685

Button A: X+95, Y+22
Button B: X+77, Y+92
Prize: X=10628, Y=7208

Button A: X+77, Y+13
Button B: X+36, Y+69
Prize: X=2662, Y=3218

Button A: X+18, Y+49
Button B: X+38, Y+22
Prize: X=2140, Y=10210

Button A: X+22, Y+64
Button B: X+68, Y+24
Prize: X=14384, Y=1912

Button A: X+12, Y+34
Button B: X+72, Y+37
Prize: X=8864, Y=18895

Button A: X+50, Y+69
Button B: X+67, Y+12
Prize: X=7166, Y=2004

Button A: X+47, Y+31
Button B: X+13, Y+75
Prize: X=2386, Y=2238

Button A: X+24, Y+67
Button B: X+57, Y+18
Prize: X=17177, Y=13222

Button A: X+50, Y+22
Button B: X+21, Y+38
Prize: X=11997, Y=16114

Button A: X+61, Y+25
Button B: X+29, Y+65
Prize: X=845, Y=665
